#category;command
0;71
0;65
0;77
0;73
0;78
0;71
0;83
0;84
0;65
0;84
0;69
0;83
0;72
0;79
0;82
0;84
0;67
0;85
0;84
0;0
1;71
1;65
1;77
1;73
1;78
1;71
1;83
1;84
1;65
1;84
1;69
1;0
2;84
2;69
2;77
2;80
2;83
2;84
2;65
2;84
2;69
2;83
2;72
2;79
2;82
2;84
2;67
2;85
2;84
2;0
4;70
4;76
4;73
4;71
4;72
4;84
4;83
4;84
4;65
4;84
4;69
4;83
4;72
4;79
4;82
4;84
4;67
4;85
4;84
4;0
6;70
6;76
6;73
6;71
6;72
6;84
6;84
6;82
6;65
6;78
6;83
6;70
6;79
6;82
6;77
6;83
6;72
6;79
6;82
6;84
6;67
6;85
6;84
6;0
